setting,model,mae,rmse
raw,baseline,1328.0587645854362,1918.4987866523138
raw,ridge,340.89320992344295,521.7613432074575
raw,mlp,483.34895490653685,965.0109970781356
raw,lstm,284.86436163067077,507.5383158339596
raw,cnn,377.92775778326035,559.2962162306926
cp_rank_3,baseline,1327.9381116843942,1918.5128188924841
cp_rank_3,ridge,484.2678807339208,646.8721343444521
cp_rank_3,mlp,481.0783714838409,673.6592405480192
cp_rank_3,lstm,449.51994940363,642.1562868659142
cp_rank_3,cnn,508.7929738623542,713.4793761490599
cp_rank_5,baseline,1327.960457348506,1918.4974475985564
cp_rank_5,ridge,444.74679512479145,599.7032892240245
cp_rank_5,mlp,404.06172429816166,602.7084952238747
cp_rank_5,lstm,385.03634402572754,576.0070943289942
cp_rank_5,cnn,420.6627317164123,609.7855241109343
cp_rank_10,baseline,1328.0028709671406,1918.4980054019995
cp_rank_10,ridge,410.02788981114753,573.0446121393959
cp_rank_10,mlp,366.5163032846687,573.2038610162239
cp_rank_10,lstm,344.08352668508616,565.276989742084
cp_rank_10,cnn,380.92450807248326,574.2618518817767
cp_rank_15,baseline,1328.015218517851,1918.4951843662075
cp_rank_15,ridge,390.85549940557013,549.2191708285493
cp_rank_15,mlp,385.33727388784513,594.1670892592465
cp_rank_15,lstm,322.46650234530193,534.2430711653215
cp_rank_15,cnn,378.5201214835346,562.3461025420363
cp_rank_20,baseline,1328.0280952608373,1918.4970209904648
cp_rank_20,ridge,376.3755066744096,542.2471014313708
cp_rank_20,mlp,368.2265647137538,575.504271833733
cp_rank_20,lstm,316.22082585748154,527.7710755967798
cp_rank_20,cnn,371.382279155044,562.0597301893773
tucker_10_20_3,baseline,1328.0043007325974,1918.5023133936215
tucker_10_20_3,ridge,405.3906029985253,566.3244845138628
tucker_10_20_3,mlp,349.8084233658544,558.935485382756
tucker_10_20_3,lstm,333.55977502054844,541.2965555162009
tucker_10_20_3,cnn,373.10935275668413,565.8284645643897
tucker_20_40_3,baseline,1328.0291780769148,1918.4995308277287
tucker_20_40_3,ridge,373.9676466993062,537.1335919273383
tucker_20_40_3,mlp,354.9207017299186,558.2495649379115
tucker_20_40_3,lstm,311.9673818090823,521.5658996024916
tucker_20_40_3,cnn,374.7669248632381,549.2623310026983
tucker_30_60_3,baseline,1328.0378289886917,1918.5002512067406
tucker_30_60_3,ridge,356.639306917008,524.5706718954453
tucker_30_60_3,mlp,460.70174283375974,916.4211885352332
tucker_30_60_3,lstm,293.60427604883233,509.18871300466867
tucker_30_60_3,cnn,363.9279243115115,538.4077242971607
